"tile_id","epsg","utm_zone","ul_x","ul_y"
"32PKC",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,1800000
"32PKQ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,1000020
"32PKR",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,1100040
"32PKS",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,1200000
"32PKT",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,1300020
"32PKU",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,1400040
"32PKV",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,1500000
"32PLA",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,1600020
"32PLB",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,1700040
"32PLC",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,1800000
"32PLQ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,1000020
"32PLR",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,1100040
"32PLS",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,1200000
"32PLT",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,1300020
"32PLU",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,1400040
"32PLV",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,1500000
"32PMA",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,1600020
"32PMB",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,1700040
"32PMC",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,1800000
"32PMQ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,1000020
"32PMR",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,1100040
"32PMS",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,1200000
"32PMT",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,1300020
"32PMU",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,1400040
"32PMV",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,1500000
"32PNA",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,1600020
"32PNB",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,1700040
"32PNC",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,1800000
"32PNQ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,1000020
"32PNR",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,1100040
"32PNS",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,1200000
"32PNT",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,1300020
"32PNU",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,1400040
"32PNV",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,1500000
"32PPA",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,1600020
"32PPB",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,1700040
"32PPC",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,1800000
"32PPQ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,1000020
"32PPR",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,1100040
"32PPS",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,1200000
"32PPT",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,1300020
"32PPU",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,1400040
"32PPV",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,1500000
